dbsinst,hash,tier
2,3450116619393325522,DQMIO
2,7222225784508266348,FEVTDEBUGHLT
2,7035207760674774959,AODSIM
2,8018507906185063971,AOD
2,16090778450629466642,USER
2,11911646250350347817,ALCARECO
2,14291881035947991662,RECO
2,17534358115844215200,DIGI
2,14287032286338502131,SIM
2,10838965976163745574,GEN
2,4630623399186092121,RAW
2,17028829349614535503,RAW-RECO
2,16559246218254726253,GEN-SIM-RECO
2,8580219864230234385,GEN-SIM-RAW-RECO
2,1480733864151584227,GEN-SIM-RAW-HLTDEBUG-RECO
2,15792634689896526652,GEN-SIM-RAW-HLTDEBUG
2,7197069998646614660,GEN-SIM-RAW
2,3946281156122483633,GEN-SIM-DIGI-RECO
2,16813256773244053800,GEN-SIM-DIGI-RAW-RECO
2,2614481657009671380,GEN-SIM-DIGI-RAW-HLTDEBUG-RECO
2,3056128005327771735,GEN-SIM-DIGI-RAW-HLTDEBUG
2,2605375147489848709,GEN-SIM-DIGI-RAW
2,599336277378948590,GEN-SIM-DIGI-HLTDEBUG-RECO
2,6995686245851510145,GEN-SIM-DIGI-HLTDEBUG
2,15009377059971169149,GEN-SIM-DIGI
2,17099856564108071342,GEN-SIM
2,231031813007488934,DIGI-RECO
2,13094330758258852128,GEN-SIM-RAWDEBUG
2,17328179590073971436,RAWDEBUG
2,11208602552171629314,DQM
2,2936577067622155125,ALCAPROMPT
2,13643370654074247481,GEN-SIM-RECODEBUG
2,6833398557910123797,RECODEBUG
2,870969109405393432,RAW-HLT
2,5106213907448913136,RAW-HLY
2,472554329158952003,HLY
2,6185326907122659455,GEN-SIM-DIGI-RECODEBUG
2,10334471191130922230,FEVT
2,15419577777076797004,HLTDEBUG
2,15426119567804240017,RAWRECOSIMHLT
2,6353981699376924363,RAW-RECOSIMHLT
2,9909080565830272426,RECOSIMHLT
2,10161032165714876735,LHE
2,8978797273953499098,GEN-SIM-RAW-HLTDEBUG-RECODEBUG
2,10332523238052226446,GEN-SIM-RAW-HLT
2,10162489688175361232,HLT
2,7515066884848695677,GEN-RAWDEBUG
2,4466115963304435786,DQMROOT
2,11158440150613863776,GEN-RAW
2,6738314151452971153,FEVTHLTALL
2,1556351910712769160,DAVE
2,17583209816771536544,CRAP
2,5982542534898398433,PREMIXRAW
2,10332147474565312454,DBS3_DEPLOYMENT_TEST_TIER
2,1465121389640381225,MINIAODSIM
2,4459826486789116633,PREMIX-RAW
2,11668681306994644363,MINIAOD
2,8978797273953499098,GEN-SIM-RAW-HLTDEBUG-RECODEBUG
2,10161032165714876735,LHE
2,6185326907122659455,GEN-SIM-DIGI-RECODEBUG
2,7515066884848695677,GEN-RAWDEBUG
2,7035207760674774959,AODSIM
2,8018507906185063971,AOD
2,16090778450629466642,USER
2,11911646250350347817,ALCARECO
2,14291881035947991662,RECO
2,17534358115844215200,DIGI
2,14287032286338502131,SIM
2,10838965976163745574,GEN
2,4630623399186092121,RAW
2,7222225784508266348,FEVTDEBUGHLT
2,17028829349614535503,RAW-RECO
2,15419577777076797004,HLTDEBUG
2,16559246218254726253,GEN-SIM-RECO
2,8580219864230234385,GEN-SIM-RAW-RECO
2,1480733864151584227,GEN-SIM-RAW-HLTDEBUG-RECO
2,15792634689896526652,GEN-SIM-RAW-HLTDEBUG
2,7197069998646614660,GEN-SIM-RAW
2,3946281156122483633,GEN-SIM-DIGI-RECO
2,16813256773244053800,GEN-SIM-DIGI-RAW-RECO
2,2614481657009671380,GEN-SIM-DIGI-RAW-HLTDEBUG-RECO
2,3056128005327771735,GEN-SIM-DIGI-RAW-HLTDEBUG
2,2605375147489848709,GEN-SIM-DIGI-RAW
2,599336277378948590,GEN-SIM-DIGI-HLTDEBUG-RECO
2,6995686245851510145,GEN-SIM-DIGI-HLTDEBUG
2,15009377059971169149,GEN-SIM-DIGI
2,17099856564108071342,GEN-SIM
2,231031813007488934,DIGI-RECO
2,10334471191130922230,FEVT
2,11158440150613863776,GEN-RAW
2,4466115963304435786,DQMROOT
2,870969109405393432,RAW-HLT
2,5106213907448913136,RAW-HLY
2,472554329158952003,HLY
2,10332523238052226446,GEN-SIM-RAW-HLT
2,10162489688175361232,HLT
2,13094330758258852128,GEN-SIM-RAWDEBUG
2,17328179590073971436,RAWDEBUG
2,11208602552171629314,DQM
2,2936577067622155125,ALCAPROMPT
2,13643370654074247481,GEN-SIM-RECODEBUG
2,6833398557910123797,RECODEBUG
2,1465121389640381225,MINIAODSIM
2,11668681306994644363,MINIAOD
2,3450116619393325522,DQMIO
2,4459826486789116633,PREMIX-RAW
2,15419577777076797004,HLTDEBUG
2,5106213907448913136,RAW-HLY
2,472554329158952003,HLY
2,870969109405393432,RAW-HLT
2,4466115963304435786,DQMROOT
2,11158440150613863776,GEN-RAW
2,17028829349614535503,RAW-RECO
2,16559246218254726253,GEN-SIM-RECO
2,8580219864230234385,GEN-SIM-RAW-RECO
2,1480733864151584227,GEN-SIM-RAW-HLTDEBUG-RECO
2,15792634689896526652,GEN-SIM-RAW-HLTDEBUG
2,7197069998646614660,GEN-SIM-RAW
2,3946281156122483633,GEN-SIM-DIGI-RECO
2,16813256773244053800,GEN-SIM-DIGI-RAW-RECO
2,2614481657009671380,GEN-SIM-DIGI-RAW-HLTDEBUG-RECO
2,3056128005327771735,GEN-SIM-DIGI-RAW-HLTDEBUG
2,2605375147489848709,GEN-SIM-DIGI-RAW
2,599336277378948590,GEN-SIM-DIGI-HLTDEBUG-RECO
2,6995686245851510145,GEN-SIM-DIGI-HLTDEBUG
2,15009377059971169149,GEN-SIM-DIGI
2,17099856564108071342,GEN-SIM
2,231031813007488934,DIGI-RECO
2,10334471191130922230,FEVT
2,7035207760674774959,AODSIM
2,8018507906185063971,AOD
2,16090778450629466642,USER
2,11911646250350347817,ALCARECO
2,14291881035947991662,RECO
2,17534358115844215200,DIGI
2,14287032286338502131,SIM
2,10838965976163745574,GEN
2,4630623399186092121,RAW
2,7222225784508266348,FEVTDEBUGHLT
2,10332523238052226446,GEN-SIM-RAW-HLT
2,10162489688175361232,HLT
2,8978797273953499098,GEN-SIM-RAW-HLTDEBUG-RECODEBUG
2,7515066884848695677,GEN-RAWDEBUG
2,10161032165714876735,LHE
2,6185326907122659455,GEN-SIM-DIGI-RECODEBUG
2,2936577067622155125,ALCAPROMPT
2,11208602552171629314,DQM
2,13094330758258852128,GEN-SIM-RAWDEBUG
2,17328179590073971436,RAWDEBUG
2,13643370654074247481,GEN-SIM-RECODEBUG
2,6833398557910123797,RECODEBUG
2,3450116619393325522,DQMIO
2,4459826486789116633,PREMIX-RAW
2,1465121389640381225,MINIAODSIM
2,11668681306994644363,MINIAOD
2,825317109385359131,USER2
2,4630623399186092121,RAW
